feature,mean_abs_shap
waist_cm,1.2871584
alt_u_l,1.141397
fasting_glucose_mg_dl,0.98146397
bmi,0.68555653
triglycerides_mg_dl,0.6260926
age_years,0.39868772
ast_u_l,0.31630224
platelets_1000cells_ul,0.22639392
hdl_mg_dl,0.19600219
sedentary_min_per_day,0.15945253
sex_code,0.11195772
alcohol_drinks_per_day,0.077284686
alcohol_drinks_per_day_missing,0.03257293
ast_u_l_missing,0.0054305517
bmi_missing,0.0
platelets_1000cells_ul_missing,0.0
hdl_mg_dl_missing,0.0
sedentary_min_per_day_missing,0.0
triglycerides_mg_dl_missing,0.0
